SCFraction Space sdtev
0.13 0.21210431039987415 0.056665559185648764 
0.14 0.1663673385293571 0.02560880464738831 
0.15 0.12680546055360054 0.033380868483173474 
0.16 0.08664975383753747 0.030861915928677982 
0.17 0.057532020439650874 0.02165506629725139 
0.18 0.04738840422796807 0.017830159959281486 
0.19 0.030122801572641873 0.012910747938340243 
0.2 0.025925237367794174 0.01286778256187726 
0.21 0.017926473144633623 0.01060627306664211 
0.22 0.00998556785886988 0.0071633857692252915 
0.23 0.009215454942270763 0.008964670618446687 
0.24 0.004925606672497967 0.005166085174835455 
0.25 0.004231211404986078 0.005796331605678406 
0.26 0.003638536859339647 0.005980624794642265 
0.27 0.0016712962180837477 0.00363632715013941 
0.28 9.693948647085266E-4 0.0030396145832903092 
0.29 9.716284564806957E-4 0.002416494836085336 
0.3 0.0 0.0 
0.31 5.997384826153349E-4 0.0018195884881157837 
0.32 2.6260504201680677E-4 0.0011446688402155132 
0.33 0.0 0.0 
0.34 0.0 0.0 
0.35 3.664921465968586E-4 0.0015975022306170007 
0.36 0.0 0.0 
0.37 0.0 0.0 
0.38 0.0 0.0 
0.39 0.0 0.0 
0.4 0.0 0.0 
0.41 0.0 0.0 
0.42 0.0 0.0 
0.43 0.0 0.0 
0.44 0.0 0.0 
0.45 0.0 0.0 
0.46 0.0 0.0 
0.47 0.0 0.0 
0.48 0.0 0.0 
0.49 0.0 0.0 
0.5 0.0 0.0 


SCFraction TA4 sdtev
0.01 0.0 0.0 
0.02 0.0 0.0 
0.03 0.0 0.0 
0.04 0.0 0.0 
0.05 0.0 0.0 
0.06 0.0 0.0 
0.07 0.0 0.0 
0.08 0.0 0.0 
0.09 0.0 0.0 
0.1 0.0 0.0 
0.11 0.0 0.0 
0.12 0.0 0.0 
0.13 0.0 0.0 
0.14 0.0 0.0 
0.15 0.0 0.0 
0.16 0.0 0.0 
0.17 0.0 0.0 
0.18 0.0 0.0 
0.19 0.0 0.0 
0.2 0.0 0.0 
0.21 0.0 0.0 
0.22 0.0 0.0 
0.23 0.0 0.0 
0.24 0.0 0.0 
0.25 0.0 0.0 
0.26 0.0 0.0 
0.27 0.0 0.0 
0.28 0.0 0.0 
0.29 0.0 0.0 
0.3 0.0 0.0 
0.31 0.0 0.0 
0.32 0.0 0.0 
0.33 0.0 0.0 
0.34 0.0 0.0 
0.35 0.0 0.0 
0.36 0.0 0.0 
0.37 0.0 0.0 
0.38 0.0 0.0 
0.39 0.0 0.0 
0.4 0.0 0.0 
0.41 0.0 0.0 
0.42 0.0 0.0 
0.43 0.0 0.0 
0.44 0.0 0.0 
0.45 0.0 0.0 
0.46 0.0 0.0 
0.47 0.0 0.0 
0.48 0.0 0.0 
0.49 0.0 0.0 
0.5 0.0 0.0 


